# Nikon D750 Capabilities (Merged, Deduplicated)
# Source: CameraCapabilities.txt, D750Capabilities.txt, D750Capabilities2.txt
# Note: Lines consolidated and duplicate entries removed.

ID: kNkMAIDCapability_MovieISOControl, Description: Movie ISO Control, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_MovieISOAutoHiLimit, Description: Movie ISO Auto Hi Limit, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_RawJpegTransferStatus, Description: Raw+Jpeg Transfer Status, Type: kNkMAIDCapType_Boolean, Operations: 22
ID: kNkMAIDCapability_PictureControlDataEx, Description: Picture Control DataEx, Type: kNkMAIDCapType_Generic, Operations: 22
ID: kNkMAIDCapability_MovieWBMode, Description: Movie White Balance Mode, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_MovieWBTuneAuto, Description: Movie WB Tune Auto, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_MovieWBAutoType, Description: Movie WB Auto Type, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_MovieWBTuneIncandescent, Description: Movie WB Tune Incandesent, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_MovieWBFluorescentType, Description: Movie WB Fluorescent Type, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_MovieWBTuneFluorescent, Description: Movie WB Fluorescent, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_MovieWBTuneSunny, Description: Movie WB Tune Sunny, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_MovieWBTuneShade, Description: Movie WB Tune Shade, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_MovieWBTuneCloudy, Description: Movie WB Tune Cloudy, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_MovieWBTuneColorTempEx, Description: Movie WBTune Color Temp Ex, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_MovieWBTuneColorAdjust, Description: Movie WB Tune Color Adjustment, Type: kNkMAIDCapType_Range, Operations: 6
